mac_id,total_times,total_days
1002805,11,6
1007111,11,1
100749,11,9
100831,11,5
1008383,11,7
1008912,11,1
1009661,11,6
1009898,11,2
1009994,11,2
101446,11,6
1014530,11,4
1015182,11,1
101558,11,4
1015615,11,1
101565,11,6
101752,11,7
101758,11,3
101778,11,6
101860,11,7
101862,11,5
1019221,11,3
1019541,11,3
1019547,11,5
102164,11,7
1022184,11,5
102247,11,5
102271,11,8
1022931,11,9
1023036,11,2
102309,11,7
102400,11,7
102405,11,6
1024107,11,6
102591,11,7
1027121,11,7
1027513,11,2
1028127,11,5
1032165,11,2
1032232,11,7
1034496,11,2
103547,11,2
1035720,11,2
1038511,11,2
103857,11,8
103939,11,1
103941,11,3
1040051,11,8
1041722,11,2
1042447,11,5
1043416,11,1
1043816,11,4
1044356,11,3
1045264,11,2
104595,11,1
104703,11,6
1047318,11,3
1047546,11,4
1049058,11,1
1049846,11,1
105084,11,3
1054888,11,8
1054928,11,8
1055564,11,7
1056482,11,7
1057282,11,5
1065810,11,7
1068439,11,1
1068906,11,1
106960,11,7
1071969,11,1
1072971,11,1
1074923,11,6
1075162,11,4
1083234,11,4
1083323,11,2
1084531,11,4
1085184,11,8
1085186,11,7
1085903,11,5
1086133,11,2
1086251,11,7
1087749,11,6
1088302,11,2
1091310,11,5
1091975,11,4
1092000,11,8
1093652,11,4
1095784,11,6
109685,11,9
1098230,11,3
1099371,11,1
109955,11,3
1101658,11,1
1102279,11,1
1102292,11,1
1102313,11,1
1104461,11,3
110511,11,5
1105266,11,5
1106708,11,1
1107118,11,3
110947,11,5
110963,11,3
1111647,11,3
1111927,11,4
1113670,11,6
111374,11,5
111660,11,2
1117347,11,1
1117517,11,6
1118098,11,4
1118345,11,3
111890,11,4
111942,11,4
111969,11,2
112134,11,4
1121978,11,1
112433,11,7
112451,11,3
1124869,11,3
112505,11,5
112557,11,6
112721,11,5
112773,11,2
1127971,11,1
112803,11,7
112910,11,8
1129656,11,2
1129717,11,4
1130159,11,2
113452,11,2
1134552,11,3
1135594,11,1
1135701,11,1
113922,11,8
113968,11,1
1139822,11,8
1140207,11,4
114045,11,8
1141565,11,1
1141915,11,6
114433,11,7
1147741,11,1
1148051,11,4
1150045,11,2
115064,11,3
115229,11,8
1154220,11,4
1154593,11,4
1154893,11,1
115741,11,4
115843,11,6
115878,11,7
1159807,11,1
1160248,11,4
116051,11,4
1162465,11,1
1162703,11,4
1162813,11,5
1163496,11,5
116370,11,6
116424,11,10
116622,11,3
116643,11,3
1167884,11,1
1167927,11,9
1169847,11,1
117211,11,7
117242,11,4
1172431,11,1
1173558,11,8
1174589,11,3
1175120,11,1
1175415,11,1
1176186,11,4
117778,11,3
1181944,11,2
1182445,11,7
1183824,11,4
1184373,11,7
1187824,11,7
118790,11,1
1189301,11,2
1191975,11,7
1192126,11,2
1193656,11,2
1198387,11,4
1199039,11,3
119992,11,9
1203404,11,4
1203751,11,2
120397,11,6
1203993,11,5
120665,11,1
120696,11,4
1207543,11,5
1208422,11,6
121036,11,2
121261,11,7
1213380,11,2
121516,11,3
1216718,11,4
121927,11,6
1219541,11,4
122001,11,6
1220241,11,2
1220279,11,1
1220744,11,2
122133,11,8
122280,11,4
122287,11,7
1223808,11,8
122450,11,1
1226816,11,3
122727,11,1
122773,11,4
1230671,11,4
123301,11,3
123510,11,7
1236527,11,5
1239182,11,3
124163,11,7
124471,11,3
1245280,11,2
1248438,11,5
125242,11,7
125348,11,4
1253812,11,2
125411,11,3
125727,11,4
126003,11,2
1262229,11,9
1264477,11,1
1265897,11,3
126908,11,4
1270714,11,7
127149,11,11
127983,11,10
1285117,11,2
128621,11,6
128724,11,2
128735,11,4
128816,11,6
128927,11,5
128988,11,8
1290774,11,1
129319,11,6
129456,11,1
129511,11,2
129600,11,9
129800,11,5
129826,11,5
130101,11,5
130231,11,3
130568,11,6
130807,11,6
130932,11,1
131147,11,7
1312246,11,1
1314942,11,5
1315956,11,8
131821,11,8
132057,11,6
132082,11,3
132168,11,2
132172,11,2
1324493,11,3
132588,11,8
1326652,11,4
132786,11,5
1328038,11,2
1329847,11,6
1331964,11,3
1333059,11,2
133359,11,5
133361,11,3
1334138,11,8
1334816,11,1
133529,11,1
134121,11,4
1343665,11,2
1345606,11,3
1347133,11,4
134980,11,3
134986,11,1
1352370,11,3
135386,11,8
135477,11,1
1357122,11,7
1359078,11,1
1359473,11,9
1359584,11,1
1359870,11,1
1359921,11,1
1361030,11,4
1363900,11,5
1364947,11,2
1365112,11,3
1365834,11,1
136884,11,2
136977,11,3
1371465,11,3
1372199,11,6
137291,11,2
1374526,11,1
1378448,11,6
138077,11,6
1381173,11,1
138173,11,6
1381790,11,7
1382277,11,1
1382552,11,1
1382808,11,3
138364,11,2
1384794,11,5
1385274,11,1
1387768,11,1
1390165,11,3
1391576,11,5
1392397,11,4
1393014,11,3
1396413,11,1
139685,11,8
1397664,11,7
139791,11,4
1400070,11,5
1400474,11,3
1405885,11,1
1408365,11,7
1410521,11,4
1411499,11,3
1414641,11,4
1415642,11,9
141854,11,8
1419897,11,5
1421716,11,3
1423041,11,4
142547,11,4
1431566,11,6
1431849,11,1
1432288,11,7
143443,11,5
1434829,11,4
143644,11,4
1438177,11,1
1440816,11,8
1442809,11,3
1447552,11,1
1449845,11,4
1450285,11,8
1450426,11,5
1451008,11,1
1460164,11,1
1460698,11,1
1463269,11,2
1463460,11,6
1471750,11,7
1472674,11,7
1473077,11,3
1473734,11,7
1473906,11,2
1474623,11,2
1475204,11,9
147534,11,4
1477117,11,3
1477602,11,7
1477731,11,6
1478153,11,5
1478356,11,1
1480901,11,3
1481134,11,4
1484079,11,4
1485467,11,1
1486841,11,3
1488183,11,3
1489009,11,1
148953,11,2
1490147,11,3
1490439,11,2
1490637,11,2
1490986,11,1
149326,11,6
149733,11,2
1498087,11,7
1498314,11,2
1498986,11,3
1499905,11,5
1500384,11,4
1501102,11,4
1501559,11,3
150749,11,3
150755,11,3
1510522,11,6
1512769,11,6
1513448,11,5
1513911,11,4
1516752,11,8
1526007,11,6
1538503,11,1
154137,11,8
154408,11,1
154661,11,3
154774,11,5
1548150,11,2
1559542,11,4
1560082,11,8
156239,11,2
1563708,11,1
1564621,11,3
156521,11,6
1568292,11,6
1570757,11,2
157314,11,4
1573941,11,8
1575314,11,6
1576765,11,6
1579010,11,3
1579022,11,6
1579379,11,4
1581941,11,4
1582387,11,2
158318,11,5
1584242,11,2
1588253,11,2
1588926,11,2
158968,11,4
1591353,11,4
1591845,11,5
159576,11,3
1596865,11,3
1601875,11,1
160265,11,8
1603290,11,1
160350,11,3
1608695,11,2
160915,11,8
1610887,11,2
1611334,11,2
1618559,11,4
161936,11,6
162106,11,3
1625371,11,2
163098,11,5
1634525,11,1
163498,11,9
163786,11,6
163788,11,7
163820,11,6
164082,11,3
1641318,11,5
164867,11,10
164959,11,9
1650101,11,7
1652831,11,4
1654362,11,5
1657212,11,5
1658144,11,6
166172,11,4
1669498,11,9
1670245,11,4
1670366,11,3
1671661,11,3
1672566,11,2
1673063,11,6
1673184,11,1
167494,11,4
1675125,11,5
1675141,11,8
167553,11,6
1676098,11,7
1677305,11,3
1679991,11,4
1682241,11,9
1685452,11,7
1687729,11,2
1689636,11,3
1690567,11,2
169375,11,7
1697642,11,10
1697995,11,6
169803,11,8
1700167,11,8
1700936,11,7
1701995,11,4
170602,11,3
1706850,11,2
1707486,11,6
1710828,11,2
171108,11,6
1716602,11,7
1716843,11,4
172044,11,6
1726551,11,3
172884,11,4
1729540,11,7
1733649,11,2
173419,11,4
173533,11,3
173612,11,8
173690,11,6
173760,11,4
1738064,11,3
1741380,11,4
1743719,11,1
1753631,11,3
175375,11,4
1754263,11,2
1755746,11,2
1756538,11,4
175725,11,3
1759922,11,1
1760344,11,3
1761291,11,3
176477,11,3
176784,11,2
1768978,11,7
176901,11,8
1770226,11,1
177654,11,3
1778822,11,3
177981,11,1
1788064,11,9
1789181,11,2
1793720,11,1
1794612,11,5
1795908,11,1
1796522,11,1
1797169,11,7
1799174,11,3
1801036,11,6
1802434,11,2
180308,11,5
1805142,11,4
1805596,11,2
1806821,11,5
1806944,11,10
18084,11,3
181193,11,1
1814597,11,6
1816753,11,7
1817432,11,8
1818648,11,8
1818726,11,1
1819078,11,6
1821193,11,2
1821770,11,5
1822338,11,3
182350,11,3
182497,11,2
1825336,11,2
1825771,11,1
182782,11,3
1830042,11,5
1830239,11,5
1832017,11,2
183347,11,9
1838215,11,1
1838427,11,5
1843606,11,6
1844350,11,3
184438,11,3
1845999,11,5
1854029,11,2
185641,11,6
1858630,11,2
1859096,11,7
186177,11,7
1863053,11,1
186405,11,1
1867818,11,9
186853,11,6
1868889,11,7
1868977,11,5
186970,11,3
1870426,11,3
187187,11,3
1872131,11,3
1874153,11,7
1875187,11,1
1877478,11,6
1881770,11,4
1883282,11,1
1883366,11,3
1883938,11,1
1884766,11,7
189656,11,7
189812,11,1
1898340,11,2
1901157,11,1
190242,11,4
1903930,11,1
1907220,11,4
1907680,11,4
1911214,11,4
191285,11,5
192321,11,2
1925449,11,6
1930000,11,1
1931167,11,1
1934448,11,1
194042,11,3
194135,11,3
1942750,11,3
1948542,11,4
1962568,11,4
1964993,11,2
1968507,11,6
197772,11,6
1977920,11,2
198192,11,4
198846,11,1
19907,11,2
1992680,11,2
1995161,11,7
1995611,11,1
1999487,11,4
2000095,11,5
200128,11,10
2002204,11,2
2003037,11,4
2003500,11,1
2005945,11,1
2006722,11,1
200794,11,2
2011814,11,7
2011941,11,3
2013711,11,2
2017370,11,2
202155,11,2
2026656,11,2
202940,11,2
203131,11,4
203165,11,8
2031950,11,2
2032787,11,6
203406,11,7
2036227,11,8
2036858,11,2
203788,11,3
2042147,11,3
2042771,11,1
2044735,11,3
2045698,11,1
2046064,11,1
204780,11,6
204838,11,4
2049279,11,3
2062460,11,10
2067338,11,5
207218,11,4
2073286,11,1
207341,11,7
2075526,11,5
207773,11,2
2077919,11,6
207822,11,7
208575,11,3
2091761,11,2
2091948,11,6
2093629,11,2
2100628,11,1
210600,11,6
2113314,11,2
211939,11,5
212106,11,2
2129076,11,7
2134015,11,2
2142315,11,3
214334,11,2
